A	Output	bin a	bin out	octal a	octal out
1030	5731	0b10000000110	0b1011001100011	0o2006	0o13143
1031	5731	0b10000000111	0b1011001100011	0o2007	0o13143
1032	3231	0b10000001000	0b110010011111	0o2010	0o6237
1033	2231	0b10000001001	0b100010110111	0o2011	0o4267
1034	1231	0b10000001010	0b10011001111	0o2012	0o2317
1035	231	0b10000001011	0b11100111	0o2013	0o347
1036	1231	0b10000001100	0b10011001111	0o2014	0o2317
1037	3231	0b10000001101	0b110010011111	0o2015	0o6237
1038	4231	0b10000001110	0b1000010000111	0o2016	0o10207
1039	7231	0b10000001111	0b1110000111111	0o2017	0o16077
1040	3031	0b10000010000	0b101111010111	0o2020	0o5727
1041	3031	0b10000010001	0b101111010111	0o2021	0o5727
1042	1031	0b10000010010	0b10000000111	0o2022	0o2007
1043	31	0b10000010011	0b11111	0o2023	0o37
1044	5031	0b10000010100	0b1001110100111	0o2024	0o11647
1045	3031	0b10000010101	0b101111010111	0o2025	0o5727
1046	7031	0b10000010110	0b1101101110111	0o2026	0o15567
1047	1031	0b10000010111	0b10000000111	0o2027	0o2007
1048	3231	0b10000011000	0b110010011111	0o2030	0o6237
1049	3231	0b10000011001	0b110010011111	0o2031	0o6237
1050	1231	0b10000011010	0b10011001111	0o2032	0o2317
1051	231	0b10000011011	0b11100111	0o2033	0o347
1052	1231	0b10000011100	0b10011001111	0o2034	0o2317
1053	3231	0b10000011101	0b110010011111	0o2035	0o6237
1054	6231	0b10000011110	0b1100001010111	0o2036	0o14127
1055	3231	0b10000011111	0b110010011111	0o2037	0o6237
1056	2531	0b10000100000	0b100111100011	0o2040	0o4743
1057	531	0b10000100001	0b1000010011	0o2041	0o1023
1058	1531	0b10000100010	0b10111111011	0o2042	0o2773
1059	531	0b10000100011	0b1000010011	0o2043	0o1023
1060	5531	0b10000100100	0b1010110011011	0o2044	0o12633
1061	3531	0b10000100101	0b110111001011	0o2045	0o6713
1062	1531	0b10000100110	0b10111111011	0o2046	0o2773
1063	5531	0b10000100111	0b1010110011011	0o2047	0o12633
1064	2331	0b10000101000	0b100100011011	0o2050	0o4433
1065	331	0b10000101001	0b101001011	0o2051	0o513
1066	1331	0b10000101010	0b10100110011	0o2052	0o2463
1067	331	0b10000101011	0b101001011	0o2053	0o513
1068	1331	0b10000101100	0b10100110011	0o2054	0o2463
1069	3331	0b10000101101	0b110100000011	0o2055	0o6403
1070	331	0b10000101110	0b101001011	0o2056	0o513
1071	7331	0b10000101111	0b1110010100011	0o2057	0o16243
1072	2531	0b10000110000	0b100111100011	0o2060	0o4743
1073	1531	0b10000110001	0b10111111011	0o2061	0o2773
1074	1531	0b10000110010	0b10111111011	0o2062	0o2773
1075	531	0b10000110011	0b1000010011	0o2063	0o1023
1076	5531	0b10000110100	0b1010110011011	0o2064	0o12633
1077	3531	0b10000110101	0b110111001011	0o2065	0o6713
1078	3531	0b10000110110	0b110111001011	0o2066	0o6713
1079	1531	0b10000110111	0b10111111011	0o2067	0o2773
1080	2531	0b10000111000	0b100111100011	0o2070	0o4743
1081	1531	0b10000111001	0b10111111011	0o2071	0o2773
1082	1531	0b10000111010	0b10111111011	0o2072	0o2773
1083	531	0b10000111011	0b1000010011	0o2073	0o1023
1084	1531	0b10000111100	0b10111111011	0o2074	0o2773
1085	3531	0b10000111101	0b110111001011	0o2075	0o6713
1086	2531	0b10000111110	0b100111100011	0o2076	0o4743
1087	3531	0b10000111111	0b110111001011	0o2077	0o6713
1088	1731	0b10001000000	0b11011000011	0o2100	0o3303
1089	6731	0b10001000001	0b1101001001011	0o2101	0o15113
1090	1731	0b10001000010	0b11011000011	0o2102	0o3303
1091	1731	0b10001000011	0b11011000011	0o2103	0o3303
1092	5731	0b10001000100	0b1011001100011	0o2104	0o13143
1093	3731	0b10001000101	0b111010010011	0o2105	0o7223
1094	5731	0b10001000110	0b1011001100011	0o2106	0o13143
1095	5731	0b10001000111	0b1011001100011	0o2107	0o13143
1096	1231	0b10001001000	0b10011001111	0o2110	0o2317
1097	6231	0b10001001001	0b1100001010111	0o2111	0o14127
1098	1231	0b10001001010	0b10011001111	0o2112	0o2317
1099	1231	0b10001001011	0b10011001111	0o2113	0o2317
1100	1231	0b10001001100	0b10011001111	0o2114	0o2317
1101	3231	0b10001001101	0b110010011111	0o2115	0o6237
1102	4231	0b10001001110	0b1000010000111	0o2116	0o10207
1103	7231	0b10001001111	0b1110000111111	0o2117	0o16077
1104	1031	0b10001010000	0b10000000111	0o2120	0o2007
1105	7031	0b10001010001	0b1101101110111	0o2121	0o15567
1106	1031	0b10001010010	0b10000000111	0o2122	0o2007
1107	1031	0b10001010011	0b10000000111	0o2123	0o2007
1108	5031	0b10001010100	0b1001110100111	0o2124	0o11647
1109	3031	0b10001010101	0b101111010111	0o2125	0o5727
1110	7031	0b10001010110	0b1101101110111	0o2126	0o15567
1111	1031	0b10001010111	0b10000000111	0o2127	0o2007
1112	1231	0b10001011000	0b10011001111	0o2130	0o2317
1113	7231	0b10001011001	0b1110000111111	0o2131	0o16077
1114	1231	0b10001011010	0b10011001111	0o2132	0o2317
1115	1231	0b10001011011	0b10011001111	0o2133	0o2317
1116	1231	0b10001011100	0b10011001111	0o2134	0o2317
1117	3231	0b10001011101	0b110010011111	0o2135	0o6237
1118	6231	0b10001011110	0b1100001010111	0o2136	0o14127
1119	3231	0b10001011111	0b110010011111	0o2137	0o6237
1120	131	0b10001100000	0b10000011	0o2140	0o203
1121	4131	0b10001100001	0b1000000100011	0o2141	0o10043
1122	1131	0b10001100010	0b10001101011	0o2142	0o2153
1123	1131	0b10001100011	0b10001101011	0o2143	0o2153
1124	5131	0b10001100100	0b1010000001011	0o2144	0o12013
1125	3131	0b10001100101	0b110000111011	0o2145	0o6073
1126	1131	0b10001100110	0b10001101011	0o2146	0o2153
1127	5131	0b10001100111	0b1010000001011	0o2147	0o12013
1128	331	0b10001101000	0b101001011	0o2150	0o513
1129	4331	0b10001101001	0b1000011101011	0o2151	0o10353
1130	1331	0b10001101010	0b10100110011	0o2152	0o2463
1131	1331	0b10001101011	0b10100110011	0o2153	0o2463
1132	1331	0b10001101100	0b10100110011	0o2154	0o2463
1133	3331	0b10001101101	0b110100000011	0o2155	0o6403
1134	331	0b10001101110	0b101001011	0o2156	0o513
1135	7331	0b10001101111	0b1110010100011	0o2157	0o16243
1136	431	0b10001110000	0b110101111	0o2160	0o657
1137	5431	0b10001110001	0b1010100110111	0o2161	0o12467
1138	1431	0b10001110010	0b10110010111	0o2162	0o2627
1139	1431	0b10001110011	0b10110010111	0o2163	0o2627
1140	5431	0b10001110100	0b1010100110111	0o2164	0o12467
1141	3431	0b10001110101	0b110101100111	0o2165	0o6547
1142	3431	0b10001110110	0b110101100111	0o2166	0o6547
1143	1431	0b10001110111	0b10110010111	0o2167	0o2627
1144	731	0b10001111000	0b1011011011	0o2170	0o1333
1145	5731	0b10001111001	0b1011001100011	0o2171	0o13143
1146	1731	0b10001111010	0b11011000011	0o2172	0o3303
1147	1731	0b10001111011	0b11011000011	0o2173	0o3303
1148	1731	0b10001111100	0b11011000011	0o2174	0o3303
1149	3731	0b10001111101	0b111010010011	0o2175	0o7223
1150	2731	0b10001111110	0b101010101011	0o2176	0o5253
1151	3731	0b10001111111	0b111010010011	0o2177	0o7223
1152	7711	0b10010000000	0b1111000011111	0o2200	0o17037
1153	2711	0b10010000001	0b101010010111	0o2201	0o5227
1154	711	0b10010000010	0b1011000111	0o2202	0o1307
1155	2711	0b10010000011	0b101010010111	0o2203	0o5227
1156	5711	0b10010000100	0b1011001001111	0o2204	0o13117
1157	3711	0b10010000101	0b111001111111	0o2205	0o7177
1158	5711	0b10010000110	0b1011001001111	0o2206	0o13117
1159	5711	0b10010000111	0b1011001001111	0o2207	0o13117
1160	7311	0b10010001000	0b1110010001111	0o2210	0o16217
1161	2311	0b10010001001	0b100100000111	0o2211	0o4407
1162	311	0b10010001010	0b100110111	0o2212	0o467
1163	2311	0b10010001011	0b100100000111	0o2213	0o4407
1164	1311	0b10010001100	0b10100011111	0o2214	0o2437
1165	3311	0b10010001101	0b110011101111	0o2215	0o6357
1166	4311	0b10010001110	0b1000011010111	0o2216	0o10327
1167	7311	0b10010001111	0b1110010001111	0o2217	0o16217
1168	7011	0b10010010000	0b1101101100011	0o2220	0o15543
1169	3011	0b10010010001	0b101111000011	0o2221	0o5703
1170	11	0b10010010010	0b1011	0o2222	0o13
1171	2011	0b10010010011	0b11111011011	0o2223	0o3733
1172	5011	0b10010010100	0b1001110010011	0o2224	0o11623
1173	3011	0b10010010101	0b101111000011	0o2225	0o5703
1174	7011	0b10010010110	0b1101101100011	0o2226	0o15543
1175	1011	0b10010010111	0b1111110011	0o2227	0o1763
1176	7211	0b10010011000	0b1110000101011	0o2230	0o16053
1177	3211	0b10010011001	0b110010001011	0o2231	0o6213
1178	211	0b10010011010	0b11010011	0o2232	0o323
1179	2211	0b10010011011	0b100010100011	0o2233	0o4243
1180	1211	0b10010011100	0b10010111011	0o2234	0o2273
1181	3211	0b10010011101	0b110010001011	0o2235	0o6213
1182	6211	0b10010011110	0b1100001000011	0o2236	0o14103
1183	3211	0b10010011111	0b110010001011	0o2237	0o6213
1184	6511	0b10010100000	0b1100101101111	0o2240	0o14557
1185	511	0b10010100001	0b111111111	0o2241	0o777
1186	511	0b10010100010	0b111111111	0o2242	0o777
1187	2511	0b10010100011	0b100111001111	0o2243	0o4717
1188	5511	0b10010100100	0b1010110000111	0o2244	0o12607
1189	3511	0b10010100101	0b110110110111	0o2245	0o6667
1190	1511	0b10010100110	0b10111100111	0o2246	0o2747
1191	5511	0b10010100111	0b1010110000111	0o2247	0o12607
1192	6311	0b10010101000	0b1100010100111	0o2250	0o14247
1193	311	0b10010101001	0b100110111	0o2251	0o467
1194	311	0b10010101010	0b100110111	0o2252	0o467
1195	2311	0b10010101011	0b100100000111	0o2253	0o4407
1196	1311	0b10010101100	0b10100011111	0o2254	0o2437
1197	3311	0b10010101101	0b110011101111	0o2255	0o6357
1198	311	0b10010101110	0b100110111	0o2256	0o467
1199	7311	0b10010101111	0b1110010001111	0o2257	0o16217
1200	6711	0b10010110000	0b1101000110111	0o2260	0o15067
1201	1711	0b10010110001	0b11010101111	0o2261	0o3257
1202	711	0b10010110010	0b1011000111	0o2262	0o1307
1203	2711	0b10010110011	0b101010010111	0o2263	0o5227
1204	5711	0b10010110100	0b1011001001111	0o2264	0o13117
1205	3711	0b10010110101	0b111001111111	0o2265	0o7177
1206	3711	0b10010110110	0b111001111111	0o2266	0o7177
1207	1711	0b10010110111	0b11010101111	0o2267	0o3257
1208	6111	0b10010111000	0b1011111011111	0o2270	0o13737
1209	1111	0b10010111001	0b10001010111	0o2271	0o2127
1210	111	0b10010111010	0b1101111	0o2272	0o157
1211	2111	0b10010111011	0b100000111111	0o2273	0o4077
1212	1111	0b10010111100	0b10001010111	0o2274	0o2127
1213	3111	0b10010111101	0b110000100111	0o2275	0o6047
1214	2111	0b10010111110	0b100000111111	0o2276	0o4077
1215	3111	0b10010111111	0b110000100111	0o2277	0o6047
1216	5701	0b10011000000	0b1011001000101	0o2300	0o13105
1217	6701	0b10011000001	0b1101000101101	0o2301	0o15055
1218	701	0b10011000010	0b1010111101	0o2302	0o1275
1219	3701	0b10011000011	0b111001110101	0o2303	0o7165
1220	5701	0b10011000100	0b1011001000101	0o2304	0o13105
1221	3701	0b10011000101	0b111001110101	0o2305	0o7165
1222	5701	0b10011000110	0b1011001000101	0o2306	0o13105
1223	5701	0b10011000111	0b1011001000101	0o2307	0o13105
1224	5301	0b10011001000	0b1010010110101	0o2310	0o12265
1225	6301	0b10011001001	0b1100010011101	0o2311	0o14235
1226	301	0b10011001010	0b100101101	0o2312	0o455
1227	3301	0b10011001011	0b110011100101	0o2313	0o6345
1228	1301	0b10011001100	0b10100010101	0o2314	0o2425
1229	3301	0b10011001101	0b110011100101	0o2315	0o6345
1230	4301	0b10011001110	0b1000011001101	0o2316	0o10315
1231	7301	0b10011001111	0b1110010000101	0o2317	0o16205
1232	5001	0b10011010000	0b1001110001001	0o2320	0o11611
1233	7001	0b10011010001	0b1101101011001	0o2321	0o15531
1234	1	0b10011010010	0b1	0o2322	0o1
1235	3001	0b10011010011	0b101110111001	0o2323	0o5671
1236	5001	0b10011010100	0b1001110001001	0o2324	0o11611
1237	3001	0b10011010101	0b101110111001	0o2325	0o5671
1238	7001	0b10011010110	0b1101101011001	0o2326	0o15531
1239	1001	0b10011010111	0b1111101001	0o2327	0o1751
1240	5201	0b10011011000	0b1010001010001	0o2330	0o12121
1241	7201	0b10011011001	0b1110000100001	0o2331	0o16041
1242	201	0b10011011010	0b11001001	0o2332	0o311
1243	3201	0b10011011011	0b110010000001	0o2333	0o6201
1244	1201	0b10011011100	0b10010110001	0o2334	0o2261
1245	3201	0b10011011101	0b110010000001	0o2335	0o6201
1246	6201	0b10011011110	0b1100000111001	0o2336	0o14071
1247	3201	0b10011011111	0b110010000001	0o2337	0o6201
1248	4101	0b10011100000	0b1000000000101	0o2340	0o10005
1249	4101	0b10011100001	0b1000000000101	0o2341	0o10005
1250	101	0b10011100010	0b1100101	0o2342	0o145
1251	3101	0b10011100011	0b110000011101	0o2343	0o6035
1252	5101	0b10011100100	0b1001111101101	0o2344	0o11755
1253	3101	0b10011100101	0b110000011101	0o2345	0o6035
1254	1101	0b10011100110	0b10001001101	0o2346	0o2115
1255	5101	0b10011100111	0b1001111101101	0o2347	0o11755
1256	4301	0b10011101000	0b1000011001101	0o2350	0o10315
1257	4301	0b10011101001	0b1000011001101	0o2351	0o10315
1258	301	0b10011101010	0b100101101	0o2352	0o455
1259	3301	0b10011101011	0b110011100101	0o2353	0o6345
1260	1301	0b10011101100	0b10100010101	0o2354	0o2425
1261	3301	0b10011101101	0b110011100101	0o2355	0o6345
1262	301	0b10011101110	0b100101101	0o2356	0o455
1263	7301	0b10011101111	0b1110010000101	0o2357	0o16205
1264	4601	0b10011110000	0b1000111111001	0o2360	0o10771
1265	5601	0b10011110001	0b1010111100001	0o2361	0o12741
1266	601	0b10011110010	0b1001011001	0o2362	0o1131
1267	3601	0b10011110011	0b111000010001	0o2363	0o7021
1268	5601	0b10011110100	0b1010111100001	0o2364	0o12741
1269	3601	0b10011110101	0b111000010001	0o2365	0o7021
1270	3601	0b10011110110	0b111000010001	0o2366	0o7021
1271	1601	0b10011110111	0b11001000001	0o2367	0o3101
1272	4301	0b10011111000	0b1000011001101	0o2370	0o10315
1273	5301	0b10011111001	0b1010010110101	0o2371	0o12265
1274	301	0b10011111010	0b100101101	0o2372	0o455
1275	3301	0b10011111011	0b110011100101	0o2373	0o6345
1276	1301	0b10011111100	0b10100010101	0o2374	0o2425
1277	3301	0b10011111101	0b110011100101	0o2375	0o6345
1278	2301	0b10011111110	0b100011111101	0o2376	0o4375
1279	3301	0b10011111111	0b110011100101	0o2377	0o6345
1280	3651	0b10100000000	0b111001000011	0o2400	0o7103
1281	2651	0b10100000001	0b101001011011	0o2401	0o5133
1282	3651	0b10100000010	0b111001000011	0o2402	0o7103
1283	4651	0b10100000011	0b1001000101011	0o2403	0o11053
1284	5651	0b10100000100	0b1011000010011	0o2404	0o13023
1285	3651	0b10100000101	0b111001000011	0o2405	0o7103
1286	5651	0b10100000110	0b1011000010011	0o2406	0o13023
1287	5651	0b10100000111	0b1011000010011	0o2407	0o13023
1288	3051	0b10100001000	0b101111101011	0o2410	0o5753
1289	2051	0b10100001001	0b100000000011	0o2411	0o4003
1290	3051	0b10100001010	0b101111101011	0o2412	0o5753
1291	4051	0b10100001011	0b111111010011	0o2413	0o7723
1292	1051	0b10100001100	0b10000011011	0o2414	0o2033
1293	3051	0b10100001101	0b101111101011	0o2415	0o5753
1294	4051	0b10100001110	0b111111010011	0o2416	0o7723
1295	7051	0b10100001111	0b1101110001011	0o2417	0o15613
1296	3051	0b10100010000	0b101111101011	0o2420	0o5753
1297	3051	0b10100010001	0b101111101011	0o2421	0o5753
1298	3051	0b10100010010	0b101111101011	0o2422	0o5753
1299	4051	0b10100010011	0b111111010011	0o2423	0o7723
1300	5051	0b10100010100	0b1001110111011	0o2424	0o11673
1301	3051	0b10100010101	0b101111101011	0o2425	0o5753
1302	7051	0b10100010110	0b1101110001011	0o2426	0o15613
1303	1051	0b10100010111	0b10000011011	0o2427	0o2033
1304	3251	0b10100011000	0b110010110011	0o2430	0o6263
1305	3251	0b10100011001	0b110010110011	0o2431	0o6263
1306	3251	0b10100011010	0b110010110011	0o2432	0o6263
1307	4251	0b10100011011	0b1000010011011	0o2433	0o10233
1308	1251	0b10100011100	0b10011100011	0o2434	0o2343
1309	3251	0b10100011101	0b110010110011	0o2435	0o6263
1310	6251	0b10100011110	0b1100001101011	0o2436	0o14153
1311	3251	0b10100011111	0b110010110011	0o2437	0o6263
1312	2551	0b10100100000	0b100111110111	0o2440	0o4767
1313	551	0b10100100001	0b1000100111	0o2441	0o1047
1314	3551	0b10100100010	0b110111011111	0o2442	0o6737
1315	4551	0b10100100011	0b1000111000111	0o2443	0o10707
1316	5551	0b10100100100	0b1010110101111	0o2444	0o12657
1317	3551	0b10100100101	0b110111011111	0o2445	0o6737
1318	1551	0b10100100110	0b11000001111	0o2446	0o3017
1319	5551	0b10100100111	0b1010110101111	0o2447	0o12657
1320	2351	0b10100101000	0b100100101111	0o2450	0o4457
1321	351	0b10100101001	0b101011111	0o2451	0o537
1322	3351	0b10100101010	0b110100010111	0o2452	0o6427
1323	4351	0b10100101011	0b1000011111111	0o2453	0o10377
1324	1351	0b10100101100	0b10101000111	0o2454	0o2507
1325	3351	0b10100101101	0b110100010111	0o2455	0o6427
1326	351	0b10100101110	0b101011111	0o2456	0o537
1327	7351	0b10100101111	0b1110010110111	0o2457	0o16267
1328	2151	0b10100110000	0b100001100111	0o2460	0o4147
1329	1151	0b10100110001	0b10001111111	0o2461	0o2177
1330	3151	0b10100110010	0b110001001111	0o2462	0o6117
1331	4151	0b10100110011	0b1000000110111	0o2463	0o10067
1332	5151	0b10100110100	0b1010000011111	0o2464	0o12037
1333	3151	0b10100110101	0b110001001111	0o2465	0o6117
1334	3151	0b10100110110	0b110001001111	0o2466	0o6117
1335	1151	0b10100110111	0b10001111111	0o2467	0o2177
1336	2551	0b10100111000	0b100111110111	0o2470	0o4767
1337	1551	0b10100111001	0b11000001111	0o2471	0o3017
1338	3551	0b10100111010	0b110111011111	0o2472	0o6737
1339	4551	0b10100111011	0b1000111000111	0o2473	0o10707
1340	1551	0b10100111100	0b11000001111	0o2474	0o3017
1341	3551	0b10100111101	0b110111011111	0o2475	0o6737
1342	2551	0b10100111110	0b100111110111	0o2476	0o4767
1343	3551	0b10100111111	0b110111011111	0o2477	0o6737
1344	1631	0b10101000000	0b11001011111	0o2500	0o3137
1345	6631	0b10101000001	0b1100111100111	0o2501	0o14747
1346	3631	0b10101000010	0b111000101111	0o2502	0o7057
1347	5631	0b10101000011	0b1010111111111	0o2503	0o12777
1348	5631	0b10101000100	0b1010111111111	0o2504	0o12777
1349	3631	0b10101000101	0b111000101111	0o2505	0o7057
1350	5631	0b10101000110	0b1010111111111	0o2506	0o12777
1351	5631	0b10101000111	0b1010111111111	0o2507	0o12777
1352	1031	0b10101001000	0b10000000111	0o2510	0o2007
1353	6031	0b10101001001	0b1011110001111	0o2511	0o13617
1354	3031	0b10101001010	0b101111010111	0o2512	0o5727
1355	5031	0b10101001011	0b1001110100111	0o2513	0o11647
1356	1031	0b10101001100	0b10000000111	0o2514	0o2007
1357	3031	0b10101001101	0b101111010111	0o2515	0o5727
1358	4031	0b10101001110	0b111110111111	0o2516	0o7677
1359	7031	0b10101001111	0b1101101110111	0o2517	0o15567
1360	1031	0b10101010000	0b10000000111	0o2520	0o2007
1361	7031	0b10101010001	0b1101101110111	0o2521	0o15567
1362	3031	0b10101010010	0b101111010111	0o2522	0o5727
1363	5031	0b10101010011	0b1001110100111	0o2523	0o11647
1364	5031	0b10101010100	0b1001110100111	0o2524	0o11647
1365	3031	0b10101010101	0b101111010111	0o2525	0o5727
1366	7031	0b10101010110	0b1101101110111	0o2526	0o15567
1367	1031	0b10101010111	0b10000000111	0o2527	0o2007
1368	1231	0b10101011000	0b10011001111	0o2530	0o2317
1369	7231	0b10101011001	0b1110000111111	0o2531	0o16077
1370	3231	0b10101011010	0b110010011111	0o2532	0o6237
1371	5231	0b10101011011	0b1010001101111	0o2533	0o12157
1372	1231	0b10101011100	0b10011001111	0o2534	0o2317
1373	3231	0b10101011101	0b110010011111	0o2535	0o6237
1374	6231	0b10101011110	0b1100001010111	0o2536	0o14127
1375	3231	0b10101011111	0b110010011111	0o2537	0o6237
1376	131	0b10101100000	0b10000011	0o2540	0o203
1377	4131	0b10101100001	0b1000000100011	0o2541	0o10043
1378	3131	0b10101100010	0b110000111011	0o2542	0o6073
1379	5131	0b10101100011	0b1010000001011	0o2543	0o12013
1380	5131	0b10101100100	0b1010000001011	0o2544	0o12013
1381	3131	0b10101100101	0b110000111011	0o2545	0o6073
1382	1131	0b10101100110	0b10001101011	0o2546	0o2153
1383	5131	0b10101100111	0b1010000001011	0o2547	0o12013
1384	331	0b10101101000	0b101001011	0o2550	0o513
1385	4331	0b10101101001	0b1000011101011	0o2551	0o10353
1386	3331	0b10101101010	0b110100000011	0o2552	0o6403
1387	5331	0b10101101011	0b1010011010011	0o2553	0o12323
1388	1331	0b10101101100	0b10100110011	0o2554	0o2463
1389	3331	0b10101101101	0b110100000011	0o2555	0o6403
1390	331	0b10101101110	0b101001011	0o2556	0o513
1391	7331	0b10101101111	0b1110010100011	0o2557	0o16243
1392	31	0b10101110000	0b11111	0o2560	0o37
1393	5031	0b10101110001	0b1001110100111	0o2561	0o11647
1394	3031	0b10101110010	0b101111010111	0o2562	0o5727
1395	5031	0b10101110011	0b1001110100111	0o2563	0o11647
1396	5031	0b10101110100	0b1001110100111	0o2564	0o11647
1397	3031	0b10101110101	0b101111010111	0o2565	0o5727
1398	3031	0b10101110110	0b101111010111	0o2566	0o5727
1399	1031	0b10101110111	0b10000000111	0o2567	0o2007
1400	731	0b10101111000	0b1011011011	0o2570	0o1333
1401	5731	0b10101111001	0b1011001100011	0o2571	0o13143
1402	3731	0b10101111010	0b111010010011	0o2572	0o7223
1403	5731	0b10101111011	0b1011001100011	0o2573	0o13143
1404	1731	0b10101111100	0b11011000011	0o2574	0o3303
1405	3731	0b10101111101	0b111010010011	0o2575	0o7223
1406	2731	0b10101111110	0b101010101011	0o2576	0o5253
1407	3731	0b10101111111	0b111010010011	0o2577	0o7223
1408	7671	0b10110000000	0b1110111110111	0o2600	0o16767
1409	2671	0b10110000001	0b101001101111	0o2601	0o5157
1410	2671	0b10110000010	0b101001101111	0o2602	0o5157
1411	6671	0b10110000011	0b1101000001111	0o2603	0o15017
1412	5671	0b10110000100	0b1011000100111	0o2604	0o13047
1413	3671	0b10110000101	0b111001010111	0o2605	0o7127
1414	5671	0b10110000110	0b1011000100111	0o2606	0o13047
1415	5671	0b10110000111	0b1011000100111	0o2607	0o13047
1416	7171	0b10110001000	0b1110000000011	0o2610	0o16003
1417	2171	0b10110001001	0b100001111011	0o2611	0o4173
1418	2171	0b10110001010	0b100001111011	0o2612	0o4173
1419	6171	0b10110001011	0b1100000011011	0o2613	0o14033
1420	1171	0b10110001100	0b10010010011	0o2614	0o2223
1421	3171	0b10110001101	0b110001100011	0o2615	0o6143
1422	4171	0b10110001110	0b1000001001011	0o2616	0o10113
1423	7171	0b10110001111	0b1110000000011	0o2617	0o16003
1424	7071	0b10110010000	0b1101110011111	0o2620	0o15637
1425	3071	0b10110010001	0b101111111111	0o2621	0o5777
1426	2071	0b10110010010	0b100000010111	0o2622	0o4027
1427	6071	0b10110010011	0b1011110110111	0o2623	0o13667
1428	5071	0b10110010100	0b1001111001111	0o2624	0o11717
1429	3071	0b10110010101	0b101111111111	0o2625	0o5777
1430	7071	0b10110010110	0b1101110011111	0o2626	0o15637
1431	1071	0b10110010111	0b10000101111	0o2627	0o2057
1432	7271	0b10110011000	0b1110001100111	0o2630	0o16147
1433	3271	0b10110011001	0b110011000111	0o2631	0o6307
1434	2271	0b10110011010	0b100011011111	0o2632	0o4337
1435	6271	0b10110011011	0b1100001111111	0o2633	0o14177
1436	1271	0b10110011100	0b10011110111	0o2634	0o2367
1437	3271	0b10110011101	0b110011000111	0o2635	0o6307
1438	6271	0b10110011110	0b1100001111111	0o2636	0o14177
1439	3271	0b10110011111	0b110011000111	0o2637	0o6307
1440	6571	0b10110100000	0b1100110101011	0o2640	0o14653
1441	571	0b10110100001	0b1000111011	0o2641	0o1073
1442	2571	0b10110100010	0b101000001011	0o2642	0o5013
1443	6571	0b10110100011	0b1100110101011	0o2643	0o14653
1444	5571	0b10110100100	0b1010111000011	0o2644	0o12703
1445	3571	0b10110100101	0b110111110011	0o2645	0o6763
1446	1571	0b10110100110	0b11000100011	0o2646	0o3043
1447	5571	0b10110100111	0b1010111000011	0o2647	0o12703
1448	6371	0b10110101000	0b1100011100011	0o2650	0o14343
1449	371	0b10110101001	0b101110011	0o2651	0o563
1450	2371	0b10110101010	0b100101000011	0o2652	0o4503
1451	6371	0b10110101011	0b1100011100011	0o2653	0o14343
1452	1371	0b10110101100	0b10101011011	0o2654	0o2533
1453	3371	0b10110101101	0b110100101011	0o2655	0o6453
1454	371	0b10110101110	0b101110011	0o2656	0o563
1455	7371	0b10110101111	0b1110011001011	0o2657	0o16313
1456	6371	0b10110110000	0b1100011100011	0o2660	0o14343
1457	1371	0b10110110001	0b10101011011	0o2661	0o2533
1458	2371	0b10110110010	0b100101000011	0o2662	0o4503
1459	6371	0b10110110011	0b1100011100011	0o2663	0o14343
1460	5371	0b10110110100	0b1010011111011	0o2664	0o12373
1461	3371	0b10110110101	0b110100101011	0o2665	0o6453
1462	3371	0b10110110110	0b110100101011	0o2666	0o6453
1463	1371	0b10110110111	0b10101011011	0o2667	0o2533
1464	6171	0b10110111000	0b1100000011011	0o2670	0o14033
1465	1171	0b10110111001	0b10010010011	0o2671	0o2223
1466	2171	0b10110111010	0b100001111011	0o2672	0o4173
1467	6171	0b10110111011	0b1100000011011	0o2673	0o14033
1468	1171	0b10110111100	0b10010010011	0o2674	0o2223
1469	3171	0b10110111101	0b110001100011	0o2675	0o6143
1470	2171	0b10110111110	0b100001111011	0o2676	0o4173
1471	3171	0b10110111111	0b110001100011	0o2677	0o6143
1472	5611	0b10111000000	0b1010111101011	0o2700	0o12753
1473	6611	0b10111000001	0b1100111010011	0o2701	0o14723
1474	2611	0b10111000010	0b101000110011	0o2702	0o5063
1475	7611	0b10111000011	0b1110110111011	0o2703	0o16673
1476	5611	0b10111000100	0b1010111101011	0o2704	0o12753
1477	3611	0b10111000101	0b111000011011	0o2705	0o7033
1478	5611	0b10111000110	0b1010111101011	0o2706	0o12753
1479	5611	0b10111000111	0b1010111101011	0o2707	0o12753
1480	5111	0b10111001000	0b1001111110111	0o2710	0o11767
1481	6111	0b10111001001	0b1011111011111	0o2711	0o13737
1482	2111	0b10111001010	0b100000111111	0o2712	0o4077
1483	7111	0b10111001011	0b1101111000111	0o2713	0o15707
1484	1111	0b10111001100	0b10001010111	0o2714	0o2127
1485	3111	0b10111001101	0b110000100111	0o2715	0o6047
1486	4111	0b10111001110	0b1000000001111	0o2716	0o10017
1487	7111	0b10111001111	0b1101111000111	0o2717	0o15707
1488	5011	0b10111010000	0b1001110010011	0o2720	0o11623
1489	7011	0b10111010001	0b1101101100011	0o2721	0o15543
1490	2011	0b10111010010	0b11111011011	0o2722	0o3733
1491	7011	0b10111010011	0b1101101100011	0o2723	0o15543
1492	5011	0b10111010100	0b1001110010011	0o2724	0o11623
1493	3011	0b10111010101	0b101111000011	0o2725	0o5703
